//time_ms taskID state
1332879182715 scott:50316:1_939864607 WAIT_QUEUE
1332879182716 scott:50316:2_1639213301 WAIT_QUEUE
1332879182716 scott:50316:3_2006734756 WAIT_QUEUE
1332879182716 scott:50316:4_1960801352 WAIT_QUEUE
1332879182716 scott:50316:5_605059303 WAIT_QUEUE
1332879182716 scott:50316:6_760349468 WAIT_QUEUE
1332879182716 scott:50316:7_1039248084 WAIT_QUEUE
1332879182716 scott:50316:8_205304177 WAIT_QUEUE
1332879182716 scott:50316:9_1347415664 WAIT_QUEUE
1332879182716 scott:50316:10_2117948255 WAIT_QUEUE
1332879182914 scott:50316:1_939864607 RUN_STATE_scott:50120
1332879184055 scott:50316:1_939864607 SUCCESS_0
1332879184058 scott:50316:2_1639213301 RUN_STATE_scott:50120
1332879184059 scott:50316:1_939864607 NOTIFICATION_DELIVERED_0
1332879185170 scott:50316:2_1639213301 SUCCESS_0
1332879185171 scott:50316:3_2006734756 RUN_STATE_scott:50120
1332879185171 scott:50316:2_1639213301 NOTIFICATION_DELIVERED_0
1332879186279 scott:50316:3_2006734756 SUCCESS_0
1332879186280 scott:50316:4_1960801352 RUN_STATE_scott:50120
1332879186281 scott:50316:3_2006734756 NOTIFICATION_DELIVERED_0
1332879187425 scott:50316:4_1960801352 SUCCESS_0
1332879187425 scott:50316:5_605059303 RUN_STATE_scott:50120
1332879187426 scott:50316:4_1960801352 NOTIFICATION_DELIVERED_0
1332879188520 scott:50316:5_605059303 SUCCESS_0
1332879188521 scott:50316:6_760349468 RUN_STATE_scott:50120
1332879188522 scott:50316:5_605059303 NOTIFICATION_DELIVERED_0
1332879189633 scott:50316:6_760349468 SUCCESS_0
1332879189633 scott:50316:7_1039248084 RUN_STATE_scott:50120
1332879189635 scott:50316:6_760349468 NOTIFICATION_DELIVERED_0
1332879190738 scott:50316:7_1039248084 SUCCESS_0
1332879190738 scott:50316:8_205304177 RUN_STATE_scott:50120
1332879190740 scott:50316:7_1039248084 NOTIFICATION_DELIVERED_0
1332879191844 scott:50316:8_205304177 SUCCESS_0
1332879191845 scott:50316:9_1347415664 RUN_STATE_scott:50120
1332879191846 scott:50316:8_205304177 NOTIFICATION_DELIVERED_0
1332879192948 scott:50316:9_1347415664 SUCCESS_0
1332879192949 scott:50316:10_2117948255 RUN_STATE_scott:50120
1332879192950 scott:50316:9_1347415664 NOTIFICATION_DELIVERED_0
1332879194052 scott:50316:10_2117948255 SUCCESS_0
1332879194054 scott:50316:10_2117948255 NOTIFICATION_DELIVERED_0
1332879259930 scott:50347:1_1574999994 WAIT_QUEUE
1332879259930 scott:50347:2_1049161751 WAIT_QUEUE
1332879260044 scott:50347:1_1574999994 RUN_STATE_scott:50120
1332879260150 scott:50347:1_1574999994 FAILED_STALE_NFS_HANDLE_-557
1332879260150 scott:50347:1_1574999994 WAIT_QUEUE
1332879260151 scott:50347:2_1049161751 RUN_STATE_scott:50120
1332879260260 scott:50347:2_1049161751 FAILED_STALE_NFS_HANDLE_-557
1332879260261 scott:50347:2_1049161751 WAIT_QUEUE
1332879260261 scott:50347:1_1574999994 RUN_STATE_scott:50120
1332879260376 scott:50347:1_1574999994 FAILED_STALE_NFS_HANDLE_-557
1332879260377 scott:50347:1_1574999994 WAIT_QUEUE
1332879260378 scott:50347:2_1049161751 RUN_STATE_scott:50120
1332879260474 scott:50347:2_1049161751 FAILED_STALE_NFS_HANDLE_-557
1332879260474 scott:50347:2_1049161751 WAIT_QUEUE
1332879260475 scott:50347:1_1574999994 RUN_STATE_scott:50120
1332879260581 scott:50347:1_1574999994 FAILED_STALE_NFS_HANDLE_-557
1332879260581 scott:50347:1_1574999994 WAIT_QUEUE
1332879260582 scott:50347:2_1049161751 RUN_STATE_scott:50120
1332879260713 scott:50347:2_1049161751 FAILED_STALE_NFS_HANDLE_-557
1332879260713 scott:50347:2_1049161751 WAIT_QUEUE
