//taskNum taskID workerID startTimeStamp execTimeStamp resultsQueueTimeStamp endTimeStamp waitQueueTime execTime resultsQueueTime totalTime exitCode
//0-time is 1332879171681ms
1 scott:50316:1_939864607 scott:50120 11034 11240 12374 12378 206 1134 4 1344 0
2 scott:50316:2_1639213301 scott:50120 11035 12377 13489 13490 1342 1112 1 2455 0
3 scott:50316:3_2006734756 scott:50120 11035 13490 14598 14600 2455 1108 2 3565 0
4 scott:50316:4_1960801352 scott:50120 11035 14599 15744 15745 3564 1145 1 4710 0
5 scott:50316:5_605059303 scott:50120 11035 15744 16839 16841 4709 1095 2 5806 0
6 scott:50316:6_760349468 scott:50120 11035 16840 17952 17954 5805 1112 2 6919 0
7 scott:50316:7_1039248084 scott:50120 11035 17952 19057 19059 6917 1105 2 8024 0
8 scott:50316:8_205304177 scott:50120 11035 19057 20163 20165 8022 1106 2 9130 0
9 scott:50316:9_1347415664 scott:50120 11035 20164 21267 21269 9129 1103 2 10234 0
10 scott:50316:10_2117948255 scott:50120 11035 21268 22371 22373 10233 1103 2 11338 0
