CONFIG: Time_ms MaxBundling PiggyBacking PreFetching DrpAllocation DrpMinResc DrpMaxResc DrpMinTime DrpMaxTime DrpIdle Scheduler DataCaching
CONFIG: 1194385955793 1 true false disabled 0 0 0 0 0 Round-Robin false
STATE: Time_ms ResourceAllocated ResourceRegistered ResourceFree ResourcePending ResourceActive TaskNumQueues TaskSubmit TaskWaitQueue TaskDispatch TaskActive TaskDeliveryQueue TaskDelivered CacheSize CacheHits CacheMisses SystemNumThreads SystemCPUuser SystemCPUsystem SystemCPUidle SystemHeapSize SystemHeapFree SystemHeapMax SubmitTP DispatchTP DeliverTP 
STATE: 1194385995828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 4 0 95 1524 1472 1524 0.0 0.0 0.0
STATE: 1194385996833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1472 1524 0.0 0.0 0.0
STATE: 1194385997832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1471 1524 0.0 0.0 0.0
STATE: 1194385998833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 0 98 1524 1471 1524 0.0 0.0 0.0
STATE: 1194385999833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 98 1524 1471 1524 0.0 0.0 0.0
STATE: 1194386000835 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1470 1524 0.0 0.0 0.0
STATE: 1194386001833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 99 1524 1470 1524 0.0 0.0 0.0
STATE: 1194386002835 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1469 1524 0.0 0.0 0.0
STATE: 1194386003836 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1469 1524 0.0 0.0 0.0
STATE: 1194386004830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 98 1524 1469 1524 0.0 0.0 0.0
STATE: 1194386005839 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1468 1524 0.0 0.0 0.0
STATE: 1194386006832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 1 99 1524 1468 1524 0.0 0.0 0.0
STATE: 1194386007832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1468 1524 0.0 0.0 0.0
STATE: 1194386008835 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1467 1524 0.0 0.0 0.0
STATE: 1194386009846 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1467 1524 0.0 0.0 0.0
STATE: 1194386010825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1467 1524 0.0 0.0 0.0
STATE: 1194386011830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1467 1524 0.0 0.0 0.0
STATE: 1194386012981 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1466 1524 0.0 0.0 0.0
STATE: 1194386013833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 5 0 95 1524 1466 1524 0.0 0.0 0.0
STATE: 1194386015676 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 100 1524 1466 1524 0.0 0.0 0.0
STATE: 1194386015888 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 0 0 100 1524 1465 1524 0.0 0.0 0.0
STATE: 1194386016828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 0 98 1524 1465 1524 0.0 0.0 0.0
STATE: 1194386017832 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1465 1524 0.0 0.0 0.0
STATE: 1194386018836 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1464 1524 0.0 0.0 0.0
STATE: 1194386019828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1464 1524 0.0 0.0 0.0
STATE: 1194386020830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1464 1524 0.0 0.0 0.0
STATE: 1194386021831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 0 98 1524 1463 1524 0.0 0.0 0.0
STATE: 1194386022826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 98 1524 1463 1524 0.0 0.0 0.0
STATE: 1194386023830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1463 1524 0.0 0.0 0.0
STATE: 1194386024831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1462 1524 0.0 0.0 0.0
STATE: 1194386025830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1462 1524 0.0 0.0 0.0
STATE: 1194386026841 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 98 1524 1462 1524 0.0 0.0 0.0
STATE: 1194386027849 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1461 1524 0.0 0.0 0.0
STATE: 1194386028830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 0 98 1524 1461 1524 0.0 0.0 0.0
STATE: 1194386029835 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 98 1524 1461 1524 0.0 0.0 0.0
STATE: 1194386030826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1460 1524 0.0 0.0 0.0
STATE: 1194386031831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 99 1524 1460 1524 0.0 0.0 0.0
STATE: 1194386032826 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1460 1524 0.0 0.0 0.0
STATE: 1194386033825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 5 0 95 1524 1459 1524 0.0 0.0 0.0
STATE: 1194386034830 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1459 1524 0.0 0.0 0.0
STATE: 1194386035825 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 0 98 1524 1459 1524 0.0 0.0 0.0
STATE: 1194386036824 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1458 1524 0.0 0.0 0.0
STATE: 1194386037837 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1458 1524 0.0 0.0 0.0
STATE: 1194386038831 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1458 1524 0.0 0.0 0.0
STATE: 1194386039829 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 0 99 1524 1457 1524 0.0 0.0 0.0
STATE: 1194386040833 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 1 1 98 1524 1457 1524 0.0 0.0 0.0
STATE: 1194386041827 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 30 2 1 98 1524 1457 1524 0.0 0.0 0.0
