//taskNum taskID workerID startTimeStamp execTimeStamp resultsQueueTimeStamp endTimeStamp waitQueueTime execTime resultsQueueTime totalTime exitCode
//0-time is 1332863748986ms
1 scott:50238:1_1461543977 scott:50532 107638 107836 109004 109006 198 1168 2 1368 0
2 scott:50238:2_1957535094 scott:50532 107639 109006 110123 110125 1367 1117 2 2486 0
3 scott:50238:3_62090462 scott:50532 107639 110125 111261 111262 2486 1136 1 3623 0
4 scott:50238:4_1234317124 scott:50532 107639 111262 112341 112343 3623 1079 2 4704 0
5 scott:50238:5_1498440786 scott:50532 107639 112342 113459 113464 4703 1117 5 5825 0
6 scott:50238:6_250965153 scott:50532 107639 113462 114570 114573 5823 1108 3 6934 0
7 scott:50238:7_1542191850 scott:50532 107639 114571 115668 115670 6932 1097 2 8031 0
8 scott:50238:8_116570079 scott:50532 107639 115669 116782 116784 8030 1113 2 9145 0
9 scott:50238:9_1193243139 scott:50532 107639 116783 117898 117899 9144 1115 1 10260 0
10 scott:50238:10_1345272296 scott:50532 107639 117899 118987 118988 10260 1088 1 11349 0
11 scott:50944:1_1490277613 scott:50532 2910058 2910180 2911298 2911300 122 1118 2 1242 0
12 scott:50944:2_1277424674 scott:50532 2910058 2911300 2912412 2912414 1242 1112 2 2356 0
13 scott:50944:3_322833712 scott:50532 2910058 2912413 2913525 2913526 2355 1112 1 3468 0
14 scott:50944:4_2098278445 scott:50532 2910058 2913525 2914637 2914639 3467 1112 2 4581 0
15 scott:50944:5_333640142 scott:50532 2910058 2914638 2915749 2915750 4580 1111 1 5692 0
16 scott:50944:6_831476861 scott:50532 2910058 2915750 2916891 2916895 5692 1141 4 6837 0
17 scott:50944:7_1494981402 scott:50532 2910058 2916895 2918017 2918018 6837 1122 1 7960 0
18 scott:50944:8_308748639 scott:50532 2910058 2918018 2919121 2919123 7960 1103 2 9065 0
19 scott:50944:9_1679064670 scott:50532 2910058 2919122 2920227 2920229 9064 1105 2 10171 0
20 scott:50944:10_1975380635 scott:50532 2910058 2920228 2921342 2921343 10170 1114 1 11285 0
21 scott:50484:1_854992365 scott:50532 3607461 3607634 3608751 3608753 173 1117 2 1292 0
22 scott:50484:2_1931375002 scott:50532 3607461 3608752 3609871 3609873 1291 1119 2 2412 0
23 scott:50484:3_1337151248 scott:50532 3607461 3609872 3610992 3610994 2411 1120 2 3533 0
24 scott:50484:4_2060095692 scott:50532 3607461 3610993 3612111 3612114 3532 1118 3 4653 0
25 scott:50484:5_355480835 scott:50532 3607461 3612113 3613235 3613237 4652 1122 2 5776 0
26 scott:50484:6_692797091 scott:50532 3607461 3613236 3614332 3614334 5775 1096 2 6873 0
27 scott:50484:7_1706618633 scott:50532 3607461 3614333 3615507 3615509 6872 1174 2 8048 0
28 scott:50484:8_94604272 scott:50532 3607461 3615507 3616632 3616633 8046 1125 1 9172 0
29 scott:50484:9_1333384712 scott:50532 3607461 3616632 3617736 3617737 9171 1104 1 10276 0
30 scott:50484:10_1380824779 scott:50532 3607462 3617736 3618856 3618858 10274 1120 2 11396 0
