//taskNum taskID workerID startTimeStamp execTimeStamp resultsQueueTimeStamp endTimeStamp waitQueueTime execTime resultsQueueTime totalTime exitCode
//0-time is 1333379482463ms
1 scott:50551:1_957602881 scott:50731 30465 30559 31647 31650 94 1088 3 1185 0
2 scott:50551:2_1030899157 scott:50731 30465 31649 32700 32701 1184 1051 1 2236 0
3 scott:50551:3_148323843 scott:50731 30465 32701 33753 33754 2236 1052 1 3289 0
4 scott:50551:4_1457238146 scott:50731 30465 33753 34837 34838 3288 1084 1 4373 0
5 scott:50551:5_252337095 scott:50731 30465 34838 35874 35876 4373 1036 2 5411 0
6 scott:50551:6_534517038 scott:50731 30465 35875 36932 36933 5410 1057 1 6468 0
7 scott:50551:7_203807443 scott:50731 30465 36933 37980 37981 6468 1047 1 7516 0
8 scott:50551:8_511751829 scott:50731 30465 37981 39039 39040 7516 1058 1 8575 0
9 scott:50551:9_1988950062 scott:50731 30465 39040 40093 40094 8575 1053 1 9629 0
10 scott:50551:10_1795003092 scott:50731 30465 40094 41141 41142 9629 1047 1 10677 0
11 scott:50335:1_404958604 scott:50736 2634519 2634620 2635687 2635688 101 1067 1 1169 0
12 scott:50335:2_710110435 scott:50736 2634519 2635688 2636734 2636735 1169 1046 1 2216 0
13 scott:50335:3_1070058922 scott:50736 2634519 2636735 2637783 2637784 2216 1048 1 3265 0
14 scott:50335:4_112152484 scott:50736 2634519 2637783 2638832 2638833 3264 1049 1 4314 0
15 scott:50335:5_145735049 scott:50736 2634519 2638833 2639881 2639883 4314 1048 2 5364 0
16 scott:50335:6_1769499891 scott:50736 2634519 2639882 2640948 2640952 5363 1066 4 6433 0
17 scott:50335:7_1671202510 scott:50736 2634520 2640951 2641996 2641997 6431 1045 1 7477 0
18 scott:50335:8_1744732580 scott:50736 2634520 2641997 2643052 2643053 7477 1055 1 8533 0
19 scott:50335:9_845699879 scott:50736 2634520 2643052 2644099 2644100 8532 1047 1 9580 0
20 scott:50335:10_1626741478 scott:50736 2634520 2644100 2645143 2645143 9580 1043 0 10623 0
21 scott:50222:1_1684025713 scott:50469 2728592 2728715 2729779 2729780 123 1064 1 1188 0
22 scott:50222:2_1196444630 scott:50469 2728592 2729780 2730828 2730829 1188 1048 1 2237 0
23 scott:50222:3_1751936996 scott:50469 2728592 2730829 2731877 2731878 2237 1048 1 3286 0
24 scott:50222:4_78542240 scott:50469 2728593 2731877 2732917 2732919 3284 1040 2 4326 0
25 scott:50222:5_60703053 scott:50469 2728593 2732918 2733967 2733968 4325 1049 1 5375 0
26 scott:50222:6_26198461 scott:50469 2728593 2733967 2734996 2734997 5374 1029 1 6404 0
27 scott:50222:7_1107317046 scott:50469 2728593 2734996 2736042 2736043 6403 1046 1 7450 0
28 scott:50222:8_176328262 scott:50469 2728593 2736042 2737093 2737094 7449 1051 1 8501 0
29 scott:50222:9_1213504322 scott:50469 2728593 2737093 2738130 2738131 8500 1037 1 9538 0
30 scott:50222:10_454441103 scott:50469 2728593 2738130 2739176 2739177 9537 1046 1 10584 0
31 scott:50707:1_937790606 scott:50982 2817896 2818031 2818105 2818106 135 74 1 210 0
32 scott:50707:2_645703380 scott:50982 2817896 2818106 2818154 2818156 210 48 2 260 0
33 scott:50707:3_1598628818 scott:50982 2817897 2818155 2818203 2818204 258 48 1 307 0
34 scott:50707:4_1428752236 scott:50982 2817897 2818203 2818250 2818250 306 47 0 353 0
35 scott:50707:5_1199651672 scott:50982 2817897 2818250 2818301 2818302 353 51 1 405 0
36 scott:50707:6_344353414 scott:50982 2817897 2818302 2818350 2818350 405 48 0 453 0
37 scott:50707:7_670948963 scott:50982 2817897 2818350 2818375 2818376 453 25 1 479 0
38 scott:50707:8_495644221 scott:50982 2817897 2818375 2818413 2818414 478 38 1 517 0
39 scott:50707:9_1708495209 scott:50982 2817897 2818414 2818436 2818437 517 22 1 540 0
40 scott:50707:10_1709737189 scott:50982 2817897 2818437 2818468 2818469 540 31 1 572 0
41 scott:50336:1_1926965095 scott:50817 2902776 2902831 2902892 2902894 55 61 2 118 0
42 scott:50336:2_1808291472 scott:50817 2902776 2902893 2902940 2902941 117 47 1 165 0
43 scott:50336:3_1165323022 scott:50817 2902776 2902941 2902988 2902989 165 47 1 213 0
44 scott:50336:4_1183587063 scott:50817 2902777 2902988 2903035 2903036 211 47 1 259 0
45 scott:50336:5_1566242478 scott:50817 2902777 2903035 2903087 2903088 258 52 1 311 0
46 scott:50336:6_1278084069 scott:50817 2902777 2903088 2903134 2903135 311 46 1 358 0
47 scott:50336:7_1419133950 scott:50817 2902777 2903135 2903162 2903163 358 27 1 386 0
48 scott:50336:8_746907073 scott:50817 2902777 2903162 2903197 2903199 385 35 2 422 0
49 scott:50336:9_1821348131 scott:50817 2902777 2903198 2903244 2903245 421 46 1 468 0
50 scott:50336:10_136370814 scott:50817 2902777 2903245 2903290 2903291 468 45 1 514 0
