//time_ms taskID state
1332868382372 scott:50663:9_132265815 RUN_STATE_scott:50512
1332868382505 scott:50663:9_132265815 FAILED_STALE_NFS_HANDLE_-557
1332868382505 scott:50663:9_132265815 WAIT_QUEUE
1332868382506 scott:50663:10_1131892562 RUN_STATE_scott:50512
1332868382611 scott:50663:10_1131892562 FAILED_STALE_NFS_HANDLE_-557
1332868382611 scott:50663:10_1131892562 WAIT_QUEUE
1332868386972 scott:50663:1_1069948503 RUN_STATE_scott:50290
1332868387097 scott:50663:1_1069948503 FAILED_STALE_NFS_HANDLE_-557
1332868387098 scott:50663:1_1069948503 WAIT_QUEUE
1332868387098 scott:50663:2_557749157 RUN_STATE_scott:50290
1332868387205 scott:50663:2_557749157 FAILED_STALE_NFS_HANDLE_-557
1332868387205 scott:50663:2_557749157 WAIT_QUEUE
1332868391936 scott:50663:3_1537234986 RUN_STATE_scott:50571
1332868392077 scott:50663:3_1537234986 FAILED_STALE_NFS_HANDLE_-557
1332868392077 scott:50663:3_1537234986 WAIT_QUEUE
1332868392077 scott:50663:4_1014129803 RUN_STATE_scott:50571
1332868392191 scott:50663:4_1014129803 FAILED_STALE_NFS_HANDLE_-557
1332868392192 scott:50663:4_1014129803 WAIT_QUEUE
1332868396404 scott:50663:5_173539759 RUN_STATE_scott:50781
1332868396515 scott:50663:5_173539759 FAILED_STALE_NFS_HANDLE_-557
1332868396516 scott:50663:5_173539759 WAIT_QUEUE
1332868396516 scott:50663:6_341919514 RUN_STATE_scott:50781
1332868396625 scott:50663:6_341919514 FAILED_STALE_NFS_HANDLE_-557
1332868396625 scott:50663:6_341919514 WAIT_QUEUE
1332868400016 scott:50663:7_1614257463 RUN_STATE_scott:50114
1332868400142 scott:50663:7_1614257463 FAILED_STALE_NFS_HANDLE_-557
1332868400142 scott:50663:7_1614257463 WAIT_QUEUE
1332868400143 scott:50663:8_1238656432 RUN_STATE_scott:50114
1332868400248 scott:50663:8_1238656432 FAILED_STALE_NFS_HANDLE_-557
1332868400248 scott:50663:8_1238656432 WAIT_QUEUE
1332868404034 scott:50663:9_132265815 RUN_STATE_scott:50628
1332868404172 scott:50663:9_132265815 FAILED_STALE_NFS_HANDLE_-557
1332868404173 scott:50663:9_132265815 WAIT_QUEUE
1332868404173 scott:50663:10_1131892562 RUN_STATE_scott:50628
1332868404290 scott:50663:10_1131892562 FAILED_STALE_NFS_HANDLE_-557
1332868404290 scott:50663:10_1131892562 WAIT_QUEUE
1332868407936 scott:50663:1_1069948503 RUN_STATE_scott:50688
1332868408046 scott:50663:1_1069948503 FAILED_STALE_NFS_HANDLE_-557
1332868408047 scott:50663:1_1069948503 WAIT_QUEUE
1332868408047 scott:50663:2_557749157 RUN_STATE_scott:50688
1332868408145 scott:50663:2_557749157 FAILED_STALE_NFS_HANDLE_-557
1332868408146 scott:50663:2_557749157 WAIT_QUEUE
1332868412175 scott:50663:3_1537234986 RUN_STATE_scott:50336
1332868412303 scott:50663:3_1537234986 FAILED_STALE_NFS_HANDLE_-557
1332868412303 scott:50663:3_1537234986 WAIT_QUEUE
1332868412304 scott:50663:4_1014129803 RUN_STATE_scott:50336
1332868412414 scott:50663:4_1014129803 FAILED_STALE_NFS_HANDLE_-557
1332868412414 scott:50663:4_1014129803 WAIT_QUEUE
