//taskNum taskID workerID startTimeStamp execTimeStamp resultsQueueTimeStamp endTimeStamp waitQueueTime execTime resultsQueueTime totalTime exitCode
//0-time is 1333378197990ms
1 scott:50857:1_1739568818 scott:50782 73740 73923 75030 75032 183 1107 2 1292 0
2 scott:50447:1_228310305 scott:50782 338967 339023 340069 340082 56 1046 13 1115 0
3 scott:50447:2_1268048060 scott:50782 338967 340082 341134 341135 1115 1052 1 2168 0
4 scott:50609:1_366640022 scott:50446 457750 457850 458914 458923 100 1064 9 1173 0
5 scott:50609:2_704705060 scott:50446 457750 458923 459967 459968 1173 1044 1 2218 0
6 scott:50727:1_597232163 scott:50446 939204 939250 940293 940294 46 1043 1 1090 0
7 scott:50727:2_1926651791 scott:50446 939204 940293 941349 941350 1089 1056 1 2146 0
8 scott:50727:3_1673332755 scott:50446 939204 941350 942397 942398 2146 1047 1 3194 0
9 scott:50727:4_1373335751 scott:50446 939204 942397 943440 943450 3193 1043 10 4246 0
10 scott:50727:5_353679460 scott:50446 939204 943450 944494 944495 4246 1044 1 5291 0
11 scott:50727:6_551245059 scott:50446 939204 944495 945548 945549 5291 1053 1 6345 0
12 scott:50727:7_2112467604 scott:50446 939204 945549 946593 946594 6345 1044 1 7390 0
13 scott:50727:8_1012903906 scott:50446 939204 946594 947638 947639 7390 1044 1 8435 0
14 scott:50727:9_1626410946 scott:50446 939204 947642 948684 948685 8438 1042 1 9481 0
15 scott:50727:10_202139199 scott:50446 939204 948685 949726 949727 9481 1041 1 10523 0
