//taskNum taskID workerID startTimeStamp execTimeStamp resultsQueueTimeStamp endTimeStamp waitQueueTime execTime resultsQueueTime totalTime exitCode
//0-time is 1330972463654ms
1 scott:50979:1_1732389702 scott:50350 55240 55446 56571 56574 206 1125 3 1334 0
2 scott:50979:2_2101292889 scott:50350 55241 56572 57655 57657 1331 1083 2 2416 0
3 scott:50979:3_1719643153 scott:50350 55241 57655 58746 58748 2414 1091 2 3507 0
4 scott:50979:4_1533739307 scott:50350 55241 58747 59878 59880 3506 1131 2 4639 0
5 scott:50979:5_589980391 scott:50350 55241 59879 60982 60986 4638 1103 4 5745 0
6 scott:50979:6_1518858425 scott:50350 55241 60985 62087 62088 5744 1102 1 6847 0
7 scott:50979:7_1178533746 scott:50350 55241 62088 63190 63192 6847 1102 2 7951 0
8 scott:50979:8_787854138 scott:50350 55241 63191 64272 64275 7950 1081 3 9034 0
9 scott:50979:9_1777404465 scott:50350 55241 64273 65377 65379 9032 1104 2 10138 0
10 scott:50979:10_977249780 scott:50350 55241 65379 66484 66486 10138 1105 2 11245 0
