//time_ms taskID state
1332868536264 scott:50351:1_1253418126 WAIT_QUEUE
1332868536466 scott:50351:1_1253418126 RUN_STATE_scott:50492
1332868536599 scott:50351:1_1253418126 FAILED_STALE_NFS_HANDLE_-557
1332868536599 scott:50351:1_1253418126 WAIT_QUEUE
1332868536599 scott:50351:1_1253418126 RUN_STATE_scott:50492
1332868536694 scott:50351:1_1253418126 FAILED_STALE_NFS_HANDLE_-557
1332868536695 scott:50351:1_1253418126 WAIT_QUEUE
1332868536696 scott:50351:1_1253418126 RUN_STATE_scott:50492
1332868536791 scott:50351:1_1253418126 FAILED_STALE_NFS_HANDLE_-557
1332868536791 scott:50351:1_1253418126 WAIT_QUEUE
1332868536792 scott:50351:1_1253418126 RUN_STATE_scott:50492
1332868536908 scott:50351:1_1253418126 FAILED_STALE_NFS_HANDLE_-557
1332868536909 scott:50351:1_1253418126 WAIT_QUEUE
1332869040539 scott:50351:1_1253418126 RUN_STATE_scott:50403
1332869040654 scott:50351:1_1253418126 FAILED_STALE_NFS_HANDLE_-557
1332869040654 scott:50351:1_1253418126 WAIT_QUEUE
1332869040655 scott:50351:1_1253418126 RUN_STATE_scott:50403
1332869040757 scott:50351:1_1253418126 FAILED_STALE_NFS_HANDLE_-557
1332869040757 scott:50351:1_1253418126 WAIT_QUEUE
1332869180003 scott:50351:1_1253418126 RUN_STATE_scott:50723
1332869180136 scott:50351:1_1253418126 FAILED_STALE_NFS_HANDLE_-557
1332869180136 scott:50351:1_1253418126 WAIT_QUEUE
1332869180136 scott:50351:1_1253418126 RUN_STATE_scott:50723
1332869180234 scott:50351:1_1253418126 FAILED_STALE_NFS_HANDLE_-557
1332869180234 scott:50351:1_1253418126 WAIT_QUEUE
1332869455277 scott:50351:1_1253418126 RUN_STATE_scott:50329
1332869455387 scott:50351:1_1253418126 FAILED_STALE_NFS_HANDLE_-557
1332869455387 scott:50351:1_1253418126 WAIT_QUEUE
1332869455388 scott:50351:1_1253418126 RUN_STATE_scott:50329
1332869455489 scott:50351:1_1253418126 FAILED_STALE_NFS_HANDLE_-557
1332869455489 scott:50351:1_1253418126 WAIT_QUEUE
1332869470975 scott:50351:1_1253418126 RUN_STATE_scott:50118
1332869471112 scott:50351:1_1253418126 FAILED_STALE_NFS_HANDLE_-557
1332869471112 scott:50351:1_1253418126 WAIT_QUEUE
1332869471113 scott:50351:1_1253418126 RUN_STATE_scott:50118
1332869471207 scott:50351:1_1253418126 FAILED_STALE_NFS_HANDLE_-557
1332869471208 scott:50351:1_1253418126 WAIT_QUEUE
