taskNum taskID workerID startTimeStamp submitTimeStamp resultsQueueTimeStamp endTimeStamp submitTime queueExecTime resultsTime totalTime exitCode
1267478708789 falkon:50161:6002_1496617510 QUEUE_50161 1267478706683 0 1267478708788 1267478708788 -1267478706683 1267478708788 0 2105 -88888
1267478708867 falkon:50161:6001_2144159310 QUEUE_50161 1267478706683 0 1267478708867 1267478708867 -1267478706683 1267478708867 0 2184 -88888
1267478708867 falkon:50161:6008_704573855 QUEUE_50161 1267478706683 0 1267478708867 1267478708867 -1267478706683 1267478708867 0 2184 -88888
1267478708867 falkon:50161:6005_1943137571 QUEUE_50161 1267478706683 0 1267478708867 1267478708867 -1267478706683 1267478708867 0 2184 -88888
1267478708867 falkon:50161:6003_281625688 QUEUE_50161 1267478706683 0 1267478708867 1267478708867 -1267478706683 1267478708867 0 2184 -88888
1267478708867 falkon:50161:6004_46374917 QUEUE_50161 1267478706683 0 1267478708867 1267478708867 -1267478706683 1267478708867 0 2184 -88888
1267478708867 falkon:50161:6006_476413844 QUEUE_50161 1267478706683 0 1267478708867 1267478708867 -1267478706683 1267478708867 0 2184 -88888
1267478708867 falkon:50161:6009_811110955 QUEUE_50161 1267478706683 0 1267478708867 1267478708867 -1267478706683 1267478708867 0 2184 -88888
1267478708875 falkon:50161:6014_1520056763 QUEUE_50161 1267478706683 0 1267478708875 1267478708875 -1267478706683 1267478708875 0 2192 -88888
1267478708875 falkon:50161:6007_1915922831 QUEUE_50161 1267478706683 0 1267478708875 1267478708875 -1267478706683 1267478708875 0 2192 -88888
1267478708875 falkon:50161:6018_1961781483 QUEUE_50161 1267478706683 0 1267478708875 1267478708875 -1267478706683 1267478708875 0 2192 -88888
1267478708875 falkon:50161:6011_2103595641 QUEUE_50161 1267478706683 0 1267478708875 1267478708875 -1267478706683 1267478708875 0 2192 -88888
1267478708875 falkon:50161:6017_2052475400 QUEUE_50161 1267478706683 0 1267478708875 1267478708875 -1267478706683 1267478708875 0 2192 -88888
1267478708875 falkon:50161:6010_1821273140 QUEUE_50161 1267478706683 0 1267478708875 1267478708875 -1267478706683 1267478708875 0 2192 -88888
1267478708875 falkon:50161:6020_1210431436 QUEUE_50161 1267478706683 0 1267478708875 1267478708875 -1267478706683 1267478708875 0 2192 -88888
1267478708875 falkon:50161:6016_462992171 QUEUE_50161 1267478706683 0 1267478708875 1267478708875 -1267478706683 1267478708875 0 2192 -88888
