	Iozone: Performance Test of File I/O
	        Version $Revision: 3.398 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri Mar  2 14:50:19 2012

	Auto Mode
	Command line used: ./iozone -a
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
            4096     256  418431  772830  1431201  1536412 1442740  866671 1499272  1180032  2077169   700881   725721 1428227  1291738
            4096     512  405187  780342  1365344  1395058 1477100  854218 3365430  1014111  1282768   627350  2088533 1335935  1350002
            4096    1024  420541  765154  1356826  1376834 1336454  838295 1309859   966257  1392344   818564   825804 1339372  1345245
            4096    2048  415828  769472  1375401  1368935 1338537  843688 1277142   949908  1358972   711004  1141913 1289701  1311960
            4096    4096  607904  750448  1285263  1283631 1279615  812524 1249553   813525  1256774   807901   837274 1256866  1277997
            8192       4  702814  751692  1535506  1546843 1313857  754615 1361223  1192226  3131639   725412   716397 1522646  1507283
            8192       8  702929  851567  1722136  1748159 1565734  868441 1587875  1317231  1521836   819458  1006147 1725336  1713462
            8192      16  631417  834383  1793323  1814058 1722136 1429166 1729330  1353821  1698471   831837   836780 1808806  1802449
            8192      32  545914  867061  1748960  1731509 1679377 1027848 1727939  1265561  1708096   803608   808924 1741161  1735971
            8192      64  978859  846824  1609143  4173515 2232194  930482 1566376  1396748  1563952   755993   767098 1565805  1526366
            8192     128  601738  860072  1592217  1586629 1592217 1366257 1571175  1417083  1567234   761961   772253 1602464  1574487
            8192     256  567040  841247  1511128  1507812 1536674 1203628 1958399  1178204  1689451  1959739   727978 1779761  1528063
            8192     512  418343  728642  1283190  1593103 3295327 2446785 1776633   988547  1417083   686085   695121 1398453  1602838
            8192    1024  982498  798900  1390136  1372149 1393236 1407043 1356280  1248001  1488349   739622   761539 1358102  1353182
            8192    2048  714654  793567  1365063  1366202 2266652 2488608 1334006  1000609  1262074   834727   847701 1332505  1323421
            8192    4096  694826  874275  1393915  1230966 1228370  806683 1263002  1414632  1255847   725596  1160182 1276800  1260315
            8192    8192  619900  747717  1343184  3100554 2946853 2115121 1224169  2218789  1230393   810222   830993 1248999  1228019
           16384       4  662971 1051257  1534094  1804617 2353986 1567084 1366931  2678411  1298681   777820   881710 1834681  1510457
           16384       8  669253 1022462  1757180  1758664 2542923 2465997 1618345  3687496  1575094   983198  1339435 1794298  1732854
           16384      16  678002  875911  1806182  1811610 1694149 2021707 1714523  1829796  3386562   838361   863583 1819814  1805423
           16384      32  817652  933196  1716707  1838018 4035484 2563986 1627813  6131394  3031856   982018   803137 1624581  1646811
           16384      64  664233 1177533  1585450  1579329 2478270 2773652 1579184  1362378  1892535  1622356   775940 2450520  4093903
